,Model,Year
145,bcc-csm1-1_rcp60_FORE-SCE-A2,
146,bcc-csm1-1_rcp60_FORE-SCE-B1,
147,bcc-csm1-1_rcp60_GCAM-26,
148,bcc-csm1-1_rcp60_GCAM-45,
149,bcc-csm1-1_rcp60_GCAM-ref,
150,bcc-csm1-1_rcp60_LUCAS-BAU_High-0001,
151,bcc-csm1-1_rcp60_LUCAS-BAU_High-0002,
152,bcc-csm1-1_rcp60_LUCAS-BAU_High-0003,
153,bcc-csm1-1_rcp60_LUCAS-BAU_High-0004,
154,bcc-csm1-1_rcp60_LUCAS-BAU_High-0005,
155,bcc-csm1-1_rcp60_LUCAS-BAU_High-0006,
156,bcc-csm1-1_rcp60_LUCAS-BAU_High-0007,
157,bcc-csm1-1_rcp60_LUCAS-BAU_High-0008,
158,bcc-csm1-1_rcp60_LUCAS-BAU_High-0009,
159,bcc-csm1-1_rcp60_LUCAS-BAU_High-0010,
160,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0001,
161,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0002,
162,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0003,
163,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0004,
164,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0005,
165,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0006,
166,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0007,
167,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0008,
168,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0009,
169,bcc-csm1-1_rcp60_LUCAS-BAU_Low-0010,
170,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0001,
171,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0002,
172,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0003,
173,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0004,
174,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0005,
175,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0006,
176,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0007,
177,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0008,
178,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0009,
179,bcc-csm1-1_rcp60_LUCAS-BAU_Med-0010,
180,bcc-csm1-1_rcp85_FORE-SCE-A1B,
181,bcc-csm1-1_rcp85_FORE-SCE-A2,
182,bcc-csm1-1_rcp85_FORE-SCE-B1,
183,bcc-csm1-1_rcp85_GCAM-26,
184,bcc-csm1-1_rcp85_GCAM-45,
185,bcc-csm1-1_rcp85_GCAM-ref,
186,bcc-csm1-1_rcp85_LUCAS-BAU_High-0001,
187,bcc-csm1-1_rcp85_LUCAS-BAU_High-0002,
188,bcc-csm1-1_rcp85_LUCAS-BAU_High-0003,
189,bcc-csm1-1_rcp85_LUCAS-BAU_High-0004,
190,bcc-csm1-1_rcp85_LUCAS-BAU_High-0005,
191,bcc-csm1-1_rcp85_LUCAS-BAU_High-0006,
192,bcc-csm1-1_rcp85_LUCAS-BAU_High-0007,
193,bcc-csm1-1_rcp85_LUCAS-BAU_High-0008,
194,bcc-csm1-1_rcp85_LUCAS-BAU_High-0009,
195,bcc-csm1-1_rcp85_LUCAS-BAU_High-0010,
196,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0001,
197,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0002,
198,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0003,
199,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0004,
200,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0005,
201,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0006,
202,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0007,
203,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0008,
204,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0009,
205,bcc-csm1-1_rcp85_LUCAS-BAU_Low-0010,
206,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0001,
207,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0002,
208,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0003,
209,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0004,
210,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0005,
211,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0006,
212,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0007,
213,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0008,
214,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0009,
215,bcc-csm1-1_rcp85_LUCAS-BAU_Med-0010,
216,bcc-csm1-1-m_rcp45_FORE-SCE-A1B,2022.0
217,bcc-csm1-1-m_rcp45_FORE-SCE-A2,2022.0
218,bcc-csm1-1-m_rcp45_FORE-SCE-B1,2022.0
219,bcc-csm1-1-m_rcp45_GCAM-26,2022.0
220,bcc-csm1-1-m_rcp45_GCAM-45,2022.0
221,bcc-csm1-1-m_rcp45_GCAM-ref,2022.0
222,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0001,2022.0
223,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0002,2022.0
224,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0003,2022.0
225,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0004,2022.0
226,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0005,2022.0
227,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0006,2022.0
228,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0007,2022.0
229,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0008,2022.0
230,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0009,2022.0
231,bcc-csm1-1-m_rcp45_LUCAS-BAU_High-0010,2022.0
232,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0001,2022.0
233,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0002,2022.0
234,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0003,2022.0
235,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0004,2022.0
236,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0005,2022.0
237,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0006,2022.0
238,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0007,2022.0
239,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0008,2022.0
240,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0009,2022.0
241,bcc-csm1-1-m_rcp45_LUCAS-BAU_Low-0010,2022.0
242,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0001,2022.0
243,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0002,2022.0
244,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0003,2022.0
245,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0004,2022.0
246,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0005,2022.0
247,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0006,2022.0
248,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0007,2022.0
249,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0008,2022.0
250,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0009,2022.0
251,bcc-csm1-1-m_rcp45_LUCAS-BAU_Med-0010,2022.0
252,bcc-csm1-1-m_rcp85_FORE-SCE-A1B,2025.0
253,bcc-csm1-1-m_rcp85_FORE-SCE-A2,2025.0
254,bcc-csm1-1-m_rcp85_FORE-SCE-B1,2025.0
255,bcc-csm1-1-m_rcp85_GCAM-26,2025.0
256,bcc-csm1-1-m_rcp85_GCAM-45,2025.0
257,bcc-csm1-1-m_rcp85_GCAM-ref,2025.0
258,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0001,2025.0
259,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0002,2025.0
260,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0003,2025.0
261,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0004,2025.0
262,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0005,2025.0
263,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0006,2025.0
264,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0007,2025.0
265,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0008,2025.0
266,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0009,2025.0
267,bcc-csm1-1-m_rcp85_LUCAS-BAU_High-0010,2025.0
268,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0001,2025.0
269,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0002,2025.0
270,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0003,2025.0
271,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0004,2025.0
272,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0005,2025.0
273,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0006,2025.0
274,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0007,2025.0
275,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0008,2025.0
276,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0009,2025.0
277,bcc-csm1-1-m_rcp85_LUCAS-BAU_Low-0010,2025.0
278,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0001,2025.0
279,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0002,2025.0
280,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0003,2025.0
281,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0004,2025.0
282,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0005,2025.0
283,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0006,2025.0
284,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0007,2025.0
285,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0008,2025.0
286,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0009,2025.0
287,bcc-csm1-1-m_rcp85_LUCAS-BAU_Med-0010,2025.0
288,canesm2_rcp26_FORE-SCE-A1B,
289,canesm2_rcp26_FORE-SCE-A2,
290,canesm2_rcp26_FORE-SCE-B1,
291,canesm2_rcp26_GCAM-26,
292,canesm2_rcp26_GCAM-45,
293,canesm2_rcp26_GCAM-ref,
294,canesm2_rcp26_LUCAS-BAU_High-0001,
295,canesm2_rcp26_LUCAS-BAU_High-0002,
296,canesm2_rcp26_LUCAS-BAU_High-0003,
297,canesm2_rcp26_LUCAS-BAU_High-0004,
298,canesm2_rcp26_LUCAS-BAU_High-0005,
299,canesm2_rcp26_LUCAS-BAU_High-0006,
300,canesm2_rcp26_LUCAS-BAU_High-0007,
301,canesm2_rcp26_LUCAS-BAU_High-0008,
302,canesm2_rcp26_LUCAS-BAU_High-0009,
303,canesm2_rcp26_LUCAS-BAU_High-0010,
304,canesm2_rcp26_LUCAS-BAU_Low-0001,
305,canesm2_rcp26_LUCAS-BAU_Low-0002,
306,canesm2_rcp26_LUCAS-BAU_Low-0003,
307,canesm2_rcp26_LUCAS-BAU_Low-0004,
308,canesm2_rcp26_LUCAS-BAU_Low-0005,
309,canesm2_rcp26_LUCAS-BAU_Low-0006,
310,canesm2_rcp26_LUCAS-BAU_Low-0007,
311,canesm2_rcp26_LUCAS-BAU_Low-0008,
312,canesm2_rcp26_LUCAS-BAU_Low-0009,
313,canesm2_rcp26_LUCAS-BAU_Low-0010,
314,canesm2_rcp26_LUCAS-BAU_Med-0001,
315,canesm2_rcp26_LUCAS-BAU_Med-0002,
316,canesm2_rcp26_LUCAS-BAU_Med-0003,
317,canesm2_rcp26_LUCAS-BAU_Med-0004,
318,canesm2_rcp26_LUCAS-BAU_Med-0005,
319,canesm2_rcp26_LUCAS-BAU_Med-0006,
320,canesm2_rcp26_LUCAS-BAU_Med-0007,
321,canesm2_rcp26_LUCAS-BAU_Med-0008,
322,canesm2_rcp26_LUCAS-BAU_Med-0009,
323,canesm2_rcp26_LUCAS-BAU_Med-0010,
324,canesm2_rcp45_FORE-SCE-A1B,2079.0
325,canesm2_rcp45_FORE-SCE-A2,2070.0
326,canesm2_rcp45_FORE-SCE-B1,2070.0
327,canesm2_rcp45_GCAM-26,2080.0
328,canesm2_rcp45_GCAM-45,2079.0
329,canesm2_rcp45_GCAM-ref,2079.0
330,canesm2_rcp45_LUCAS-BAU_High-0001,2070.0
331,canesm2_rcp45_LUCAS-BAU_High-0002,2070.0
332,canesm2_rcp45_LUCAS-BAU_High-0003,2070.0
333,canesm2_rcp45_LUCAS-BAU_High-0004,2070.0
334,canesm2_rcp45_LUCAS-BAU_High-0005,2070.0
335,canesm2_rcp45_LUCAS-BAU_High-0006,2070.0
336,canesm2_rcp45_LUCAS-BAU_High-0007,2070.0
337,canesm2_rcp45_LUCAS-BAU_High-0008,2070.0
338,canesm2_rcp45_LUCAS-BAU_High-0009,2070.0
339,canesm2_rcp45_LUCAS-BAU_High-0010,2070.0
340,canesm2_rcp45_LUCAS-BAU_Low-0001,2070.0
341,canesm2_rcp45_LUCAS-BAU_Low-0002,2070.0
342,canesm2_rcp45_LUCAS-BAU_Low-0003,2070.0
343,canesm2_rcp45_LUCAS-BAU_Low-0004,2070.0
344,canesm2_rcp45_LUCAS-BAU_Low-0005,2070.0
345,canesm2_rcp45_LUCAS-BAU_Low-0006,2070.0
346,canesm2_rcp45_LUCAS-BAU_Low-0007,2070.0
347,canesm2_rcp45_LUCAS-BAU_Low-0008,2070.0
348,canesm2_rcp45_LUCAS-BAU_Low-0009,2070.0
349,canesm2_rcp45_LUCAS-BAU_Low-0010,2070.0
350,canesm2_rcp45_LUCAS-BAU_Med-0001,2070.0
351,canesm2_rcp45_LUCAS-BAU_Med-0002,2070.0
352,canesm2_rcp45_LUCAS-BAU_Med-0003,2070.0
353,canesm2_rcp45_LUCAS-BAU_Med-0004,2070.0
354,canesm2_rcp45_LUCAS-BAU_Med-0005,2070.0
355,canesm2_rcp45_LUCAS-BAU_Med-0006,2070.0
356,canesm2_rcp45_LUCAS-BAU_Med-0007,2070.0
357,canesm2_rcp45_LUCAS-BAU_Med-0008,2070.0
358,canesm2_rcp45_LUCAS-BAU_Med-0009,2070.0
359,canesm2_rcp45_LUCAS-BAU_Med-0010,2070.0
360,canesm2_rcp85_FORE-SCE-A1B,2063.0
361,canesm2_rcp85_FORE-SCE-A2,2063.0
362,canesm2_rcp85_FORE-SCE-B1,2063.0
363,canesm2_rcp85_GCAM-26,2064.0
364,canesm2_rcp85_GCAM-45,2064.0
365,canesm2_rcp85_GCAM-ref,2063.0
366,canesm2_rcp85_LUCAS-BAU_High-0001,2063.0
367,canesm2_rcp85_LUCAS-BAU_High-0002,2063.0
368,canesm2_rcp85_LUCAS-BAU_High-0003,2063.0
369,canesm2_rcp85_LUCAS-BAU_High-0004,2063.0
370,canesm2_rcp85_LUCAS-BAU_High-0005,2063.0
371,canesm2_rcp85_LUCAS-BAU_High-0006,2063.0
372,canesm2_rcp85_LUCAS-BAU_High-0007,2063.0
373,canesm2_rcp85_LUCAS-BAU_High-0008,2063.0
374,canesm2_rcp85_LUCAS-BAU_High-0009,2063.0
375,canesm2_rcp85_LUCAS-BAU_High-0010,2063.0
376,canesm2_rcp85_LUCAS-BAU_Low-0001,2063.0
377,canesm2_rcp85_LUCAS-BAU_Low-0002,2063.0
378,canesm2_rcp85_LUCAS-BAU_Low-0003,2063.0
379,canesm2_rcp85_LUCAS-BAU_Low-0004,2063.0
380,canesm2_rcp85_LUCAS-BAU_Low-0005,2063.0
381,canesm2_rcp85_LUCAS-BAU_Low-0006,2063.0
382,canesm2_rcp85_LUCAS-BAU_Low-0007,2063.0
383,canesm2_rcp85_LUCAS-BAU_Low-0008,2063.0
384,canesm2_rcp85_LUCAS-BAU_Low-0009,2063.0
385,canesm2_rcp85_LUCAS-BAU_Low-0010,2063.0
386,canesm2_rcp85_LUCAS-BAU_Med-0001,2063.0
387,canesm2_rcp85_LUCAS-BAU_Med-0002,2063.0
388,canesm2_rcp85_LUCAS-BAU_Med-0003,2063.0
389,canesm2_rcp85_LUCAS-BAU_Med-0004,2063.0
390,canesm2_rcp85_LUCAS-BAU_Med-0005,2063.0
391,canesm2_rcp85_LUCAS-BAU_Med-0006,2063.0
392,canesm2_rcp85_LUCAS-BAU_Med-0007,2063.0
393,canesm2_rcp85_LUCAS-BAU_Med-0008,2063.0
394,canesm2_rcp85_LUCAS-BAU_Med-0009,2063.0
395,canesm2_rcp85_LUCAS-BAU_Med-0010,2063.0
396,ccsm4_rcp26_FORE-SCE-A1B,
397,ccsm4_rcp26_FORE-SCE-A2,
398,ccsm4_rcp26_FORE-SCE-B1,
399,ccsm4_rcp26_GCAM-26,
400,ccsm4_rcp26_GCAM-45,
401,ccsm4_rcp26_GCAM-ref,
402,ccsm4_rcp26_LUCAS-BAU_High-0001,
403,ccsm4_rcp26_LUCAS-BAU_High-0002,
404,ccsm4_rcp26_LUCAS-BAU_High-0003,
405,ccsm4_rcp26_LUCAS-BAU_High-0004,
406,ccsm4_rcp26_LUCAS-BAU_High-0005,
407,ccsm4_rcp26_LUCAS-BAU_High-0006,
408,ccsm4_rcp26_LUCAS-BAU_High-0007,
409,ccsm4_rcp26_LUCAS-BAU_High-0008,
410,ccsm4_rcp26_LUCAS-BAU_High-0009,
411,ccsm4_rcp26_LUCAS-BAU_High-0010,
412,ccsm4_rcp26_LUCAS-BAU_Low-0001,
413,ccsm4_rcp26_LUCAS-BAU_Low-0002,
414,ccsm4_rcp26_LUCAS-BAU_Low-0003,
415,ccsm4_rcp26_LUCAS-BAU_Low-0004,
416,ccsm4_rcp26_LUCAS-BAU_Low-0005,
417,ccsm4_rcp26_LUCAS-BAU_Low-0006,
418,ccsm4_rcp26_LUCAS-BAU_Low-0007,
419,ccsm4_rcp26_LUCAS-BAU_Low-0008,
420,ccsm4_rcp26_LUCAS-BAU_Low-0009,
421,ccsm4_rcp26_LUCAS-BAU_Low-0010,
422,ccsm4_rcp26_LUCAS-BAU_Med-0001,
423,ccsm4_rcp26_LUCAS-BAU_Med-0002,
424,ccsm4_rcp26_LUCAS-BAU_Med-0003,
425,ccsm4_rcp26_LUCAS-BAU_Med-0004,
426,ccsm4_rcp26_LUCAS-BAU_Med-0005,
427,ccsm4_rcp26_LUCAS-BAU_Med-0006,
428,ccsm4_rcp26_LUCAS-BAU_Med-0007,
429,ccsm4_rcp26_LUCAS-BAU_Med-0008,
430,ccsm4_rcp26_LUCAS-BAU_Med-0009,
431,ccsm4_rcp26_LUCAS-BAU_Med-0010,
432,ccsm4_rcp45_FORE-SCE-A1B,
433,ccsm4_rcp45_FORE-SCE-A2,
434,ccsm4_rcp45_FORE-SCE-B1,
435,ccsm4_rcp45_GCAM-26,
436,ccsm4_rcp45_GCAM-45,
437,ccsm4_rcp45_GCAM-ref,
438,ccsm4_rcp45_LUCAS-BAU_High-0001,
439,ccsm4_rcp45_LUCAS-BAU_High-0002,
